name,code,division_of,subarea_of,has_divisions,has_subareas
"Atlantic, Northeast",27,,,,27.1; 27.2; 27.8; 27.3; 27.4; 27.5; 27.6; 27.7; 27.9; 27.10; 27.11; 27.12; 27.13; 27.14
Barents Sea (Subarea I),27.1,,27,27.1.b; 27.1.a,
Barents Sea - NEAFC Regulatory Area,27.1.a,27.1,,,
Barents Sea - non-NEAFC Regulatory Area,27.1.b,27.1,,,
Azores Grounds and Northeast Atlantic South,27.10,,27,27.10.b; 27.10.a,
Azores Grounds,27.10.a,27.10,,27.10.a.2; 27.10.a.1,
Azores Grounds - Parts of the NEAFC Regulatory Area,27.10.a.1,27.10.a,,,
Azores Grounds Non-NEAFC Regulatory Area,27.10.a.2,27.10.a,,,
Northeast Atlantic South,27.10.b,27.10,,,
Subarea XI,27.11,,27; 34,,
North of Azores,27.12,,27,27.12.c; 27.12.b; 27.12.a,
Southern mid-Atlantic Ridge,27.12.a,27.12,,27.12.a.4; 27.12.a.3; 27.12.a.2; 27.12.a.1,
Subdivision 27.12.a.1 - NEAFC Regulatory Area,27.12.a.1,27.12.a,,,
Subdivision 27.12.a.2 - NEAFC Regulatory Area,27.12.a.2,27.12.a,,,
Subdivision 27.12.a.3 Non-NEAFC Regulatory Area,27.12.a.3,27.12.a,,,
Subdivision 27.12.a.4 Non-NEAFC Regulatory Area,27.12.a.4,27.12.a,,,
Western Hatton Bank,27.12.b,27.12,,,
Central Northeast Atlantic - South,27.12.c,27.12,,,
Subarea XIII,27.13,,27; 34,,
East Greenland,27.14,,27,27.14.b; 27.14.a,
Northeast Greenland,27.14.a,27.14,,,
Southeast Greenland,27.14.b,27.14,,27.14.b.2; 27.14.b.1,
Southeast Greenland - Parts of NEAFC Regulatory Area,27.14.b.1,27.14.b,,,
Southeast Greenland Non-NEAFC Regulatory Area,27.14.b.2,27.14.b,,,
"Norwegian Sea, Spitzbergen, and Bear Island (Subarea II)",27.2,,27,27.2.b; 27.2.a,
Norwegian Sea (Division IIa),27.2.a,27.2,,,
Spitzbergen and Bear Island (Division IIb),27.2.b,27.2,,,
"Skagerrak, Kattegat, Sound, Belt Sea, and Baltic Sea, the Sound and Belt together known also as the Transition Area (Subarea III)",27.3,,27,"27.3.d; 27.3.b,c; 27.3.a",
Skagerrak and Kattegat (Division IIIa),27.3.a,27.3,,,
"Sound and Belt Sea or the Transition Area (Divisions IIIb,c)","27.3.b,c",27.3,,27.3.c.22; 27.3.b.23,
Division 27.3.b.23,27.3.b.23,"27.3.b,c",,,
Division 27.3.c.22,27.3.c.22,"27.3.b,c",,,
Baltic Sea (Division IIId),27.3.d,27.3,,27.3.d.32; 27.3.d.31; 27.3.d.30; 27.3.d.29; 27.3.d.28; 27.3.d.27; 27.3.d.26; 27.3.d.25; 27.3.d.24,
Baltic West of Bornholm,27.3.d.24,27.3.d,,,
Southern Central Baltic - West,27.3.d.25,27.3.d,,,
Southern Central Baltic - East,27.3.d.26,27.3.d,,,
West of Gotland,27.3.d.27,27.3.d,,,
East of Gotland or Gulf of Riga,27.3.d.28,27.3.d,,27.3.d.28.2; 27.3.d.28.1,
Gulf of Riga,27.3.d.28.1,27.3.d.28,,,
East of Gotland,27.3.d.28.2,27.3.d.28,,,
Archipelago Sea,27.3.d.29,27.3.d,,,
Bothnian Sea,27.3.d.30,27.3.d,,,
Bothnian Bay,27.3.d.31,27.3.d,,,
Gulf of Finland,27.3.d.32,27.3.d,,,
North Sea (Subarea IV),27.4,,27,27.4.c; 27.4.b; 27.4.a,
Northern North Sea,27.4.a,27.4,,,
Central North Sea,27.4.b,27.4,,,
Southern North Sea,27.4.c,27.4,,,
Iceland and Faeroes Grounds,27.5,,27,27.5.b; 27.5.a,
Iceland Grounds,27.5.a,27.5,,27.5.a.2; 27.5.a.1,
Northern Reykjanes Ridge,27.5.a.1,27.5.a,,,
Icelandic Shelf,27.5.a.2,27.5.a,,,
Faeroes Grounds,27.5.b,27.5,,27.5.b.2; 27.5.b.1,
Faroe Plateau,27.5.b.1,27.5.b,,27.5.b.1.b; 27.5.b.1.a,
Faroe Plateau - Part of NEAFC Regulatory Area,27.5.b.1.a,27.5.b.1,,,
Faroe Plateau - Part of Non-NEAFC Regulatory Area,27.5.b.1.b,27.5.b.1,,,
Faroe Bank,27.5.b.2,27.5.b,,,
"Rockall, Northwest Coast of Scotland and North Ireland, the Northwest Coast of Scotland and North Ireland also known as the West of Scotland",27.6,,27,27.6.b; 27.6.a,
Northwest Coast of Scotland and North Ireland or West of Scotland,27.6.a,27.6,,,
Rockall,27.6.b,27.6,,27.6.b.2; 27.6.b.1,
Rockall - Part of NEAFC area I,27.6.b.1,27.6.b,,,
