label,code,abbreviation,has_parent_category
Surrounding nets,01.0.0 [start: 1980-01-01T00:00:00Z] [end: 2016-01-01T00:00:00Z]; 01 [start: 2016-01-01T00:00:00Z],,
Purse Seine,01.1.0 [start: 1980-01-01T00:00:00Z] [end: 2016-01-01T00:00:00Z]; 01.1 [start: 2016-01-01T00:00:00Z],PS,01; 01.0.0
Surrounding nets without purse lines,01.2.0 [start: 1980-01-01T00:00:00Z] [end: 2016-01-01T00:00:00Z]; 01.2 [start: 2016-01-01T00:00:00Z],LA,01; 01.0.0
Surrounding nets (NEI),01.9 [start: 2016-01-01T00:00:00Z],SUX,01; 01.0.0
Seine nets,02.0.0 [start: 1980-01-01T00:00:00Z] [end: 2016-01-01T00:00:00Z]; 02 [start: 2016-01-01T00:00:00Z],,
Beach seines,02.1.0 [start: 1980-01-01T00:00:00Z] [end: 2016-01-01T00:00:00Z]; 02.1 [start: 2016-01-01T00:00:00Z],SB,02; 02.0.0
Boat seines,02.2.0 [start: 1980-01-01T00:00:00Z] [end: 2016-01-01T00:00:00Z]; 02.2 [start: 2016-01-01T00:00:00Z],SV,02; 02.0.0
Seine nets (NEI),02.9.0 [start: 1980-01-01T00:00:00Z] [end: 2016-01-01T00:00:00Z]; 02.9 [start: 2016-01-01T00:00:00Z],SX,02; 02.0.0
Trawls,03.0.0 [start: 1980-01-01T00:00:00Z] [end: 2016-01-01T00:00:00Z]; 03 [start: 2016-01-01T00:00:00Z],,
Beam trawls,03.1.1 [start: 1980-01-01T00:00:00Z] [end: 2016-01-01T00:00:00Z]; 03.11 [start: 2016-01-01T00:00:00Z],TBB,03; 03.0.0
Single boat bottom otter trawls,03.1.2 [start: 1980-01-01T00:00:00Z] [end: 2016-01-01T00:00:00Z]; 03.12 [start: 2016-01-01T00:00:00Z],OTB,03; 03.0.0
Bottom pair trawls,03.1.3 [start: 1980-01-01T00:00:00Z] [end: 2016-01-01T00:00:00Z]; 03.15 [start: 2016-01-01T00:00:00Z],PTB,03; 03.0.0
