Label_en;Label_es;P2:string;P29:string;P76:string;P39:wikibase-item;P50:wikibase-item;P48:globe-coordinate
Port of Tarifa;Puerto de Tarifa;Tarifa;ESTRF;Administración General del Estado;Q70;Q187;36.009368,-5.604034,0.000001
Port of Algeciras;Puerto de Algeciras;Algeciras;ESALG;Administración General del Estado;Q70;Q188;36.132349,-5.436094,0.000001
Port of La Linea de la Concepción;Puerto de La Linea de la Concepción;La Linea de la Concepción;;;Q70;Q188;36.158917,-5.359301,0.000001
Port of La Atunara;Puerto de La Atunara;La Atunara;;Comunidad Autónoma;Q70;Q188;36.180808,-5.334223,0.000001
Port of Torrevieja;Puerto de Torrevieja;Torrevieja;ESTOR;Comunidad Autónoma;Q70;Q189;37.970740,-0.686970,0.000001
Port of Guardamar del Segura;Puerto de Gardamar del Segura;Guardamar del Segura;;;Q70;Q189;38.109290,-0.645015,0.000001
Port of Santa Pola;Puerto de Santa Pola;Santa Pola;ESSPO;Comunidad Autónoma;Q70;Q190;38.196972,-0.561452,0.000001
Port of Alicante;Puerto de Alicante;Alicante;ESALC;Administración General del Estado;Q70;Q191;38.329485,-0.491189,0.000001
Port of Isla de Tabarca;Puerto de Isla de Tabarca;Isla de Tabarca;ESTAB;Comunidad Autónoma;Q70;Q191;38.166860,-0.478506,0.000001
Port of Villajoyosa;Puerto de Villajoyosa;Villajoyosa;ESVIL;Comunidad Autónoma;Q70;Q192;38.506843,-0.219837,0.000001
Port of Campello;Puerto de Campello;Campello,,El Campello;ESCAM;Comunidad Autónoma;Q70;Q192;38.430528,-0.385522,0.000001
Port of Calpe;Puerto de Calpe;Calpe;ESCAL;Comunidad Autónoma;Q70;Q192;38.637932,0.069755,0.000001
Port of Benidorm;Puerto de Benidorm;Benidorm;ESBEM;Comunidad Autónoma;Q70;Q192;38.534136,-0.133680,0.000001
Port of Altea;Puerto de Altea;Altea;ESALT;Comunidad Autónoma;Q70;Q193;38.588148,-0.054355,0.000001
Port of Denia;Puerto de Denia;Denia;ESDNA;Comunidad Autónoma;Q70;Q194;38.842661,0.00000115707,0.000001
Port of Moraira;Puerto de Moraira;Moraira;ESMOR;Comunidad Autónoma;Q70;Q194;38.686029,0.137104,0.000001
Port of Javea;Puerto de Javea;Javea,,Jávea;ESJAV;Comunidad Autónoma;Q70;Q194;38.797026,0.186018,0.000001
Port of Adra;Puerto de Adra;Adra;ESADR;;Q70;Q195;36.745583,-3.020300,0.000001
Port of Almería;Puerto de Almería;Almería;ESLEI;Administración General del Estado;Q70;Q196;36.834755,-2.481466,0.000001
Port of Roquetas De Mar;Puerto de Roquetas De Mar;Roquetas De Mar;;;Q70;Q196;36.755043,-2.605899,0.000001
Port of Carboneras;Puerto de Carboneras;Carboneras;;;Q70;Q197;36.990636,-1.897374,0.000001
Port of Garrucha;Puerto de La Garrucha;Garrucha;ESGAR;;Q70;Q198;37.183265,-1.8117254,0.000001
Port of Avilés;Puerto de Avilés;Aviles,,Avilés;ESAVS;Administración General del Estado;Q70;Q199;43.570472,-5.921849,0.000001
Port of San Esteban de Pravia;Puerto de San Esteban de Pravia;San Esteban de Pravia;ESSEO;;Q70;Q200;43.550340,-6.085262,0.000001
Port of San Juan de la Arena;Puerto de San Juan de la Arena;San Juan de la Arena;;;Q70;Q200;43.556463,-6.076936,0.000001
Port of Cudillero;Puerto de Cudillero;Cudillero;ESCLO;;Q70;Q200;43.567664,-6.150905,0.000001
Port of Oviñana;Puerto de Oviñana;Oviñana;;;Q70;Q200;43.584521,-6.224005,0.000001
Port of Luarca;Puerto de Luarca;Luarca;ESLUA;;Q70;Q201;43.546137,-6.532737,0.000001
Port of Viavelez;Puerto de Viavelez;Viavelez;;;Q70;Q201;43.563835,-6.839166,0.000001
Port of Tapia de Casariego;Puerto de Tapia de Casariego;Tapia de Casariego;ESTCG;;Q70;Q201;43.572279,-6.945576,0.000001
Port of Puerto de Vega;Puerto de Puerto de Vega;Puerto de Vega;;;Q70;Q201;43.565352,-6.645832,0.000001
Port of Ortiguera;Puerto de Ortiguera;Ortiguera;ESOGU;Comunidad Autónoma;Q70;Q201;43.560611,-6.741219,0.000001
Port of Figueras;Puerto de Figueras;Figueras;ESFGU;;Q70;Q201;43.537254,-7.023968,0.000001
Port of Villanueva y Geltrú;Puerto de Villanueva y Geltrú;Villanueva y la Geltrú,,Vilanova y la Geltrú;;;Q70;Q202;41.211069,1.732815,0.000001
Port of Sitges;Puerto de Sitges;Sitges;ESSIT;;Q70;Q202;41.234144,1.825151,0.000001
Port of Barcelona;Puerto de Barcelona;Barcelona;ESBCN;Administración General del Estado;Q70;Q203;41.373844,2.184105,0.000001
Port of El Masnou;Puerto del Masnou;El Masnou;ESMSN;Comunidad Autónoma;Q70;Q203;41.476019,2.314173,0.000001
Port of Castelldefels;Puerto de Castelldefels;Castelldefels;;;Q70;Q203;41.259104,1.927165,0.000001
Puerto de Calella de la Costa;Puerto de Calella de la Costa;Calella,,Calella de la Costa;;;Q70;Q203;41.612911,2.667081,0.000001
Port of Badalona;Puerto de Badalona;Badalona;ESBAD;;Q70;Q203;41.433339,2.241665,0.000001
Port of Arenys de Mar;Puerto de Arenys de Mar;Arenys de Mar;;;Q70;Q204;41.577157,2.560184,0.000001
Port of San Pol de Mar;Puerto de San Pol de Mar;San Pol de Mar;;;Q70;Q204;41.600530,2.624933,0.000001
Port of Montgat;Puerto de Montgat;Montgat;;;Q70;Q204;41.466138,2.282609,0.000001
Port of Pineda;Puerto de Pineda;Pineda,,Pineda de Mar;;;Q70;Q204;41.623655,2.700618,0.000001
Port of Mataró;Puerto de Mataró;Mataró,,Mataro;ESMTO;Comunidad Autónoma;Q70;Q204;41.529708,2.446001,0.000001
Port of Lequeitio;Puerto de Lequeito;Lequeito;ESLEK;Autoridad Portuaria;Q70;Q205;43.365200,-2.501288,0.000001
Port of Elanchove;Puerto de Elanchove;Elanchove;ESEEM;Autoridad Portuaria;Q70;Q205;43.403681,-2.637600,0.000001
Port of Bermeo;Puerto de Bermeo;Bermeo;ESBRM;Autoridad Portuaria;Q70;Q206;43.419742,-2.716807,0.000001
Port of Mundaca;Puerto de Mundaca;Mundaca;ESMKA;Autoridad Portuaria;Q70;Q206;43.408469,-2.697705,0.000001
Port of Bilbao;Puerto de Bilbao;Bilbao;ESBIO;Administración General del Estado;Q70;Q207;43.330121,-3.030032,0.000001
Port of Santurce;Puerto de Santurce;Santurce;;;Q70;Q207;43.330351,-3.030417,0.000001
Port of Plencia;Puerto de Plencia;Plencia;;Autoridad Portuaria;Q70;Q207;43.407787,-2.946647,0.000001
Port of Ciervana;Puerto de Ciervana;Ciervana,,Zierbena;;;Q70;Q207;43.353730,-3.079272,0.000001
Port of Arminza;Puerto de Arminza;Arminza,,Armintza;ESARW;Autoridad Portuaria;Q70;Q207;43.432793,-2.8999095,0.000001
Port of Ondárroa;Puerto de Ondárroa;Ondárroa;ESOND;Autoridad Portuaria;Q70;Q208;43.325230,-2.421274,0.000001
Port of El Puerto de Santa María;Puerto de Santa María;Puerto Santa María;;Comunidad Autónoma;Q70;Q209;36.590889,-6.227585,0.000001
Port of Chipiona;Puerto de Chipiona;Chipiona;ESCHP;Comunidad Autónoma;Q70;Q209;36.746117,-6.430557,0.000001
Port of Cádiz;Puerto de Cádiz;Cádiz,,Cadiz;ESCAD;Comunidad Autónoma;Q70;Q210;36.531542,-6.284302,0.000001
Port of Sanlucar De Barrameda;Puerto de Sanlucar De Barrameda;Sanlucar De Barrameda,,Sanlúcar De Barrameda;;;Q70;Q264;36.790345,-6.353188,0.000001
Port of San Fernando;Puerto de San Fernando;San Fernando;;;Q70;Q210;36.485886,-6.198461,0.000001
Port of Rota;Puerto de Rota;Rota;;;Q70;Q210;36.615883,-6.355881,0.000001
Port of Puerto Real;Puerto de Puerto Real;Puerto Real;;;Q70;Q210;36.524835,-6.191532,0.000001
Port of Puerto de Santa Maria;Puerto de Puerto de Santa Maria;Puerto de Santa Maria;;;Q70;Q210;36.580367,-6.250375,0.000001
Port of Barbate;Puerto de Barbate;Barbate;;;Q70;Q211;36.185695,-5.927214,0.000001
Port of Conil;Puerto de Conil;Conil, Conil de la Frontera;;;Q70;Q211;36.294671,-6.137259,0.000001
Port of Águilas;Puerto de Águilas;Águilas;ESAGU;;Q70;Q212;37.403187,-1.576922,0.000001
Port of Mazarrón;Pueto de Mazarrón;Mazarrón,,Mazarron;ESMZO;;Q70;Q213;37.562445,-1.256645,0.000001
Port of Cartagena;Puerto de Cartagena;Cartagena;ESCAR;Administración General del Estado;Q70;Q214;37.597303,-0.975028,0.000001
Port of San Pedro del Pinatar;Puerto de San Pedro del Pinatar;San Pedro del Pinatar;ESPPI;;Q70;Q215;37.820311,-0.754714,0.000001
Port of Burriana;Puerto de Burriana;Burriana;ESBRX;Comunidad Autónoma;Q70;Q216;39.862482,-0.069244,0.000001
Port of Castellón de la Plana;Puerto de Castellón;Castellón,,Castellon de la Plana (El Grao);ESCAS;Administración General del Estado;Q70;Q217;39.969572,0.014402,0.000001
Port of Vinaroz;Puerto de Vinaroz;Vinaroz,,Vinaròs;ESVZR;Comunidad Autónoma;Q70;Q218;40.465487,0.474575,0.000001
Port of Peñíscola;Puerto de Peñíscola;Peñíscola,,Peñiscola;;;Q70;Q218;40.356557,0.404921,0.000001
Port of Benicarlo;Puerto de Benicarlo;Benicarlo,,Benicarló;ESBEC;Comunidad Autónoma;Q70;Q218;40.414845,0.435114,0.000001
Port of Ceuta;Puerto de Ceuta;Ceuta;ESCEU;Administración General del Estado;Q70;Q219;35.897701,-5.319304,0.000001
Port of Sada;Puerto de Sada;Sada,,Sada-Fontán;ESSAD;Comunidad Autónoma;Q70;Q220;43.3616666,-8.246592,0.000001
Port of Redes;Puerto de Redes;Redes;;Comunidad Autónoma;Q70;Q220;43.423942,-8.203225,0.000001
Port of Miño;Puerto de Miño;Miño;;Comunidad Autónoma;Q70;Q220;43.351010,-8.216687,0.000001
Port of Mera-Oleiros;Puerto de Mera-Oleiros;Mera-Oleiros,,Mera;;Comunidad Autónoma;Q70;Q220;43.377937,-8.339051,0.000001
Port of Lorbe;Puerto de Lorbe;Lorbe,,Lorbé;;Comunidad Autónoma;Q70;Q220;43.390195,-8.297633,0.000001
Port of La Coruña;Puerto de La Coruña;La Coruña;ESLCG;Administración General del Estado;Q70;Q221;43.361959,-8.401746,0.000001
Port of Ares;Puerto de Ares;Ares;;Comunidad Autónoma;Q70;Q221;43.421989,-8.239047,0.000001
Port of Corme;Puerto de Corme;Corme;ESCRE;Comunidad Autónoma;Q70;Q222;43.262758,-8.963946,0.000001
Port of Camariñas;Puerto de Camariñas;Camariñas;ESCMI;Comunidad Autónoma;Q70;Q223;43.262758,-8.963946,0.000001
