label,code,abbreviation,has_parent_category,superseded_by
Factory stern trawler,,TTP,1,1.9 [date: 2019-01-01T00:00:00Z]
Freezer stern trawler,,TTF,1,1.9 [date: 2019-01-01T00:00:00Z]
Wet-fish stern trawler,,TTW,1,1.9 [date: 2019-01-01T00:00:00Z]
Trawler,1,TO,,
Otter trawler,1.1,OT,1,
Pair trawler,1.2,PT,1,
Beam trawler,1.3,BT,1,
Side trawler,1.4,TS,1,
Stern trawler,1.5,TT,1,
Trawler nei,1.9,TOX,1,
Multipurpose vessel,10,MO,,
Purse seine/pelagic trawler,10.1,MTS,10,
"Multipurpose trawler (in combination with longline, trap, gillnet, dredge)",10.2,MTW,10,
"Multipurpose non trawler (longline, gillnet, trap)",10.3,MLG,10,
Multipurpose vessel nei,10.9,MOX,10,
Recreational fishing vessel,18,RO,,
Recreational fishing vessels nei,18.9,ROX,18,
Other fishing vessel,19,FX,,
Other fishing vessels nei,19.9,FXX,19,
Purse seiner,2,SP,,
Purse Seiner - American type,2.1,SPA,2,
Purse Seiners - European type,2.2,SPE,2,
Drum seiner,2.3,SPD,2,
Purse seiner nei,2.9,SPX,2,
Mothership,20,HO,,
Mothership nei,20.9,HOX,20,
Fish carrier and reefer,21,FO,,
Refrigerated transport vessel,21.1,FR,21,
Fish carrier and reefer nei,21.9,FOX,21,
Support vessel,23,SA,,
Bunkering tanker vessel,23.1,SB,23,
Towing vessel,23.2,ST,23,
Support and auxiliary ship nei,23.9,SAX,23,
Fishery research and survey vessel,25,RT,,
Fishery research and survey vessel nei,25.9,RTX,25,
Patrol vessel,26,PX,,
Patrol vessel nei,26.9,PXX,26,
Fishery training vessel,27,CO,,
Fishery training vessel nei,27.9,COX,27,
Vessels supporting fishing related activities,29,VO,,
Multipurpose vessel supporting fishing related activities,29.1,VOM,29,
"Vessel supporting fishing related activities, nei",29.9,VOX,29,
Seiner (other),3,SO,,
Seiner nei,3.9,SOX,3,
Dredger,4,DO,,
Dredger nei,4.9,DOX,4,
Lift netter,5,NO,,
Stick-held dip netters,5.1,NS,5,
Lift netter nei,5.9,NOX,5,
Gillnetter,6,GO,,
Drifter,6.1,GD,6,
Set netter,6.2,GS,6,
Gillnetters nei,6.9,GOX,6,
Trap setter,7,WO,,
Pot vessel,7.1,WP,7,
Trap setter nei,7.9,WOX,7,
Longliner,8,LL,,
Bottom longliner,8.1,LB,8,
Midwater longliner,8.2,LM,8,
Longliner nei,8.9,LLX,8,
Line vessel (other),9,LO,,
Jigger vessel,9.1,LJ,9,
Pole and Line vessel,9.2,LP,9,
Troller,9.3,LT,9,
Hand liner vessel,9.4,LH,9,
Line vessel nei,9.9,LOX,9,
