Port Security;World Water Body;Railway;Cranes - Floating;Supplies - Provisions;Communications - Telefax;Publication Link;Facilities - Wharves;Harbor Type;Facilities - Ice Mooring;UN/LOCODE;Entrance Restriction - Ice;OID;Supplies - Fuel Oil;Services - Navigation Equipment;Offshore Maximum Vessel Beam (m);Facilities - Liquid Bulk;IHO S-57 Electronic Navigational Chart;Underkeel Clearance Management System;Pilotage - Advisable;Country Code;Region Name;Quarantine - Pratique;Harbor Use;Facilities - Med Mooring;IHO S-130 Sea Area;Facilities - Dangerous Cargo Anchorage;Lifts - 0-24 Tons;Services - Electrical Repair;Offshore Maximum Vessel Length (m);Facilities - Oil Terminal;Tidal Range (m);Vessel Traffic Service;First Port of Entry;Cranes - Fixed;Supplies - Engine;Estimated Time of Arrival Message;Search and Rescue;Entrance Restriction - Tide;Pilotage - Available;Communications - Radiotelephone;NAVAREA;Quarantine - Other;Anchorage Depth (m);Main Port Name;Facilities - Container;Services - Electricity;Pilotage - Local Assistance;Degaussing;Channel Depth (m);Dirty Ballast Disposal;Latitude;Supplies - Potable Water;Traffic Separation Scheme;World Port Index Number;Quarantine - Sanitation;Maximum Vessel Beam (m);Facilities - Beach Mooring;Communications - Telephone;Shelter Afforded;Oil Terminal Depth (m);Chemical Holding Tank Disposal;Maximum Vessel Draft (m);Supplies - Deck;Cranes Container;US Representative;Facilities - Solid Bulk;Entrance Restriction - Heavy Swell;Communications - Rail;Lifts - 100+ Tons;Alternate Port Name;Facilities - Breakbulk;Facilities - Anchorage;Services - Longshoremen;Sailing Direction or Publication;Facilities - Ro-Ro;Services -Diving;Entrance Restriction - Other;Facilities - Other;Longitude;Repairs;Dry Dock;Digital Nautical Chart;Maximum Vessel Length (m);Offshore Maximum Vessel Draft (m);Supplies - Aviation Fuel;Pilotage - Compulsory;Good Holding Ground;Overhead Limits;Communications - Airport;Tugs - Assistance;Lifts - 50-100 Tons;Supplies - Diesel Oil;Turning Area;Lifts - 25-49 Tons;Harbor Size;Garbage Disposal;Services - Ice Breaking;Facilities - LNG Terminal;Communications - Radio;Services -Steam;Liquified Natural Gas Terminal Depth (m);Cargo Pier Depth (m);Cranes - Mobile;Tugs - Salvage;Medical Facilities;IHO S-101 Electronic Navigational Chart;Standard Nautical Chart;Entrance Width (m);Position
Unknown;"Mediterranean Sea; North Atlantic Ocean";Unknown;Unknown;Yes;Unknown;https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub132bk.pdf&type=view;Yes;Open Roadstead;Unknown;;Unknown;5.0;Yes;Yes;0.0;Unknown;;Unknown;Unknown;Turkey;Turkey Asia -- 44360;Yes;Unknown;Yes;;Unknown;Unknown;Yes;0.0;Unknown;0.0;Unknown;Unknown;Unknown;Yes;Yes;Unknown;Unknown;Yes;Unknown;III;Unknown;23.2;Delta Terminal;Unknown;Yes;Unknown;Unknown;0.0;No;36.85;Unknown;Unknown;44804.0;Unknown;0.0;Unknown;Unknown;Poor;6.4;Unknown;0.0;Unknown;Unknown;No;Unknown;Unknown;Unknown;Unknown;;Unknown;Yes;Unknown;Sailing Directions Pub. 132 (Enroute) - Eastern Mediterranean;Unknown;Unknown;Yes;Unknown;36.166667;Moderate;Unknown;a1044880, coa10d, gen10b;0.0;0.0;Unknown;Yes;Unknown;Unknown;Unknown;Yes;Unknown;Yes;Unknown;Unknown;Very Small;Unknown;Unknown;Unknown;Yes;Unknown;0.0;0.0;Unknown;Unknown;Yes;;54481.0;0.0;36.850000,36.166667,0.000001
Unknown;"Aegean Sea; Mediterranean Sea; North Atlantic Ocean";Unknown;Unknown;Unknown;Unknown;https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub132bk.pdf&type=view;Unknown;Coastal (Natural);Unknown;;No;17.0;Unknown;Unknown;0.0;Unknown;;Unknown;Unknown;Greece;Greece East Coast -- 42010;Unknown;Unknown;Unknown;;Unknown;Unknown;Unknown;0.0;Unknown;2.0;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;No;Unknown;Unknown;III;Unknown;9.4;Larimna;Unknown;Unknown;Unknown;Unknown;11.0;No;38.566667;Unknown;Unknown;42415.0;Unknown;0.0;Unknown;Unknown;Good;0.0;Unknown;0.0;Unknown;Unknown;Unknown;Unknown;No;Unknown;Unknown;Larmes;Unknown;Unknown;Unknown;Sailing Directions Pub. 132 (Enroute) - Eastern Mediterranean;Unknown;Unknown;Yes;Unknown;23.283333;Unknown;Unknown;a0942415, coa09d, gen09, h0942415;0.0;0.0;Unknown;Unknown;Unknown;No;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Very Small;Unknown;Unknown;Unknown;Unknown;Unknown;0.0;11.0;Unknown;Unknown;Unknown;;54282.0;0.0;38.566667,23.283333,0.000001
Unknown;"Mediterranean Sea; North Atlantic Ocean";Unknown;Unknown;Unknown;Unknown;https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub131bk.pdf&type=view;Yes;Coastal (Natural);Unknown;;Unknown;18.0;Unknown;Unknown;0.0;Unknown;;Unknown;Unknown;Spain;Spain SE Coast -- 38340;Unknown;Unknown;Unknown;;Unknown;Unknown;Unknown;0.0;Unknown;1.0;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Yes;Unknown;III;Unknown;23.2;Hornillo;Unknown;Unknown;Unknown;Unknown;14.0;Unknown;37.4;Unknown;Unknown;38420.0;Unknown;0.0;Unknown;Unknown;Fair;0.0;Unknown;0.0;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;;Unknown;Unknown;Yes;Sailing Directions Pub. 131 (Enroute) - Western Mediterranean;Unknown;Unknown;Unknown;Unknown;-1.55;Unknown;Unknown;a0838430, coa08o, gen08b;0.0;0.0;Unknown;Yes;Unknown;Yes;Yes;Yes;Unknown;Unknown;Unknown;Unknown;Very Small;Unknown;Unknown;Unknown;Yes;Unknown;0.0;4.9;Unknown;Unknown;Yes;;52060.0;0.0;37.400000,-1.550000,0.000001
Unknown;"Mediterranean Sea; North Atlantic Ocean";Small;Unknown;Unknown;Unknown;https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub131bk.pdf&type=view;Yes;Open Roadstead;Unknown;;No;19.0;Yes;Unknown;0.0;Unknown;;Unknown;Unknown;Italy;Italy -- 39125;Unknown;Unknown;Unknown;;Unknown;Unknown;Unknown;0.0;Unknown;1.0;Unknown;Unknown;Unknown;Unknown;Yes;Unknown;No;Yes;Yes;III;Unknown;23.2;Melilli Oil Terminal;Unknown;Unknown;Unknown;Unknown;21.6;Unknown;37.116667;Yes;Unknown;40245.0;Unknown;0.0;Unknown;Unknown;Fair;17.1;Unknown;0.0;Unknown;Unknown;No;Unknown;No;Unknown;Unknown;;Unknown;Unknown;Unknown;Sailing Directions Pub. 131 (Enroute) - Western Mediterranean;Unknown;Unknown;Yes;Unknown;15.25;Limited;Unknown;a0940250, coa09b, gen09;0.0;0.0;Unknown;Yes;Yes;No;Yes;Yes;Unknown;Yes;Yes;Unknown;Very Small;Unknown;Unknown;Unknown;Yes;Unknown;0.0;0.0;Unknown;Unknown;Unknown;;53212.0;0.0;37.116667,15.250000,0.000001
Unknown;"Mediterranean Sea; North Atlantic Ocean";Unknown;Unknown;Yes;Unknown;https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub132bk.pdf&type=view;Yes;Coastal (Natural);Unknown;;No;36.0;Yes;Unknown;0.0;Unknown;;Unknown;Yes;Turkey;Italy -- 40345;Unknown;Unknown;Yes;;Unknown;Unknown;Unknown;0.0;Unknown;0.0;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Yes;Unknown;III;Unknown;0.0;Aksaz Limani;Unknown;Yes;Unknown;Unknown;23.2;Unknown;36.833333;Yes;Unknown;44807.0;Unknown;0.0;Unknown;Unknown;Unknown;0.0;Unknown;0.0;Unknown;Unknown;Unknown;Unknown;Unknown;No;Unknown;;Unknown;Unknown;Unknown;Sailing Directions Pub. 132 (Enroute) - Eastern Mediterranean;Unknown;Unknown;Unknown;Unknown;28.383333;Limited;Small;a1044805, coa10c, gen10b, h1044808;0.0;0.0;Unknown;Unknown;Unknown;Unknown;Yes;Unknown;Unknown;Yes;Yes;Unknown;Small;Unknown;Unknown;Unknown;Unknown;Unknown;0.0;0.0;Unknown;Unknown;Yes;;54425.0;0.0;36.833333,28.383333,0.000001
Unknown;"Aegean Sea; Mediterranean Sea; North Atlantic Ocean";Unknown;Unknown;Unknown;Unknown;https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub132bk.pdf&type=view;Unknown;Coastal (Breakwater);Unknown;;No;39.0;Unknown;Unknown;0.0;Unknown;;Unknown;Unknown;Greece;Greece East Coast -- 42010;Unknown;Unknown;Unknown;;Unknown;Unknown;Unknown;0.0;Unknown;0.0;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;No;Yes;Unknown;III;Unknown;12.5;Ayios Nikolaos;Unknown;Unknown;Unknown;Unknown;9.4;No;37.983333;Unknown;Unknown;42180.0;Unknown;0.0;Unknown;Unknown;Fair;0.0;Unknown;0.0;Unknown;Unknown;Unknown;Unknown;No;Unknown;Unknown;Arapis;Unknown;Unknown;Unknown;Sailing Directions Pub. 132 (Enroute) - Eastern Mediterranean;Unknown;Unknown;Yes;Unknown;23.533333;Major;Small;a0942050, coa09d, gen09, h0942230;0.0;0.0;Unknown;Yes;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Very Small;Unknown;Unknown;Unknown;Unknown;Unknown;0.0;7.9;Unknown;Unknown;Unknown;;54339.0;0.0;37.983333,23.533333,0.000001
Unknown;"Aegean Sea; Mediterranean Sea; North Atlantic Ocean";Unknown;Unknown;Unknown;Unknown;https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub132bk.pdf&type=view;Unknown;Coastal (Breakwater);Unknown;;Unknown;40.0;Unknown;Unknown;0.0;Unknown;;Unknown;Yes;Greece;Kikladhes -- 42870;Yes;Unknown;Unknown;;Unknown;Unknown;Unknown;0.0;Unknown;1.0;Unknown;Unknown;Unknown;Unknown;Yes;Unknown;Unknown;Yes;Unknown;III;Unknown;0.0;Akra Kavonisi;Unknown;Unknown;Yes;Unknown;0.0;Unknown;35.516667;Yes;Unknown;43093.0;Unknown;0.0;Unknown;Unknown;Fair;0.0;Unknown;0.0;Unknown;Unknown;No;Unknown;Unknown;Unknown;Unknown;;Unknown;Unknown;Yes;Sailing Directions Pub. 132 (Enroute) - Eastern Mediterranean;Unknown;Unknown;Unknown;Unknown;23.633333;Limited;Small;a0943100, coa09d, gen09;0.0;0.0;Unknown;Unknown;Unknown;No;Unknown;No;Unknown;Unknown;Yes;Unknown;Very Small;Yes;Unknown;Unknown;Yes;Unknown;0.0;7.9;Yes;No;Yes;;54318.0;0.0;35.516667,23.633333,0.000001
Unknown;"Sea of Marmara; Mediterranean Sea; North Atlantic Ocean";Unknown;Unknown;Yes;Unknown;https://msi.geo.nga.mil/Publications/SDEnroute;Yes;Coastal (Natural);Unknown;;Unknown;41.0;Yes;Unknown;0.0;Unknown;;Unknown;Unknown;Turkey;Turkey Europe -- 43325;Unknown;Unknown;Unknown;;Unknown;Unknown;Unknown;0.0;Unknown;0.0;Unknown;Unknown;Yes;Unknown;Yes;Unknown;Unknown;Unknown;Unknown;III;Unknown;23.2;Borusan Fertilizer Jetty;Unknown;Unknown;Unknown;Unknown;0.0;Yes;40.416667;Yes;Unknown;43384.0;Unknown;0.0;Unknown;Unknown;Fair;0.0;Unknown;0.0;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;;Unknown;Unknown;Yes;Admiralty Sailing Directions - NP24 - Black Sea and Sea of Azov Pilot (United Kingdom Hydrographic Office);Unknown;Unknown;Yes;Unknown;29.1;Limited;Unknown;a1043410, coa10c, gen10b;0.0;0.0;Unknown;Yes;Unknown;No;Unknown;Yes;Yes;Yes;Unknown;Yes;Very Small;Unknown;Unknown;Unknown;Yes;Unknown;0.0;6.4;Yes;Unknown;Yes;;55043.0;0.0;40.416667,29.100000,0.000001
Unknown;"Caribbean Sea; North Atlantic Ocean";Unknown;Unknown;Unknown;Unknown;https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub147bk.pdf&type=view;Unknown;Open Roadstead;Unknown;;No;44.0;Unknown;Unknown;0.0;Unknown;;Unknown;Unknown;France;St Martin -- 11355;Unknown;Unknown;Unknown;;Unknown;Unknown;Unknown;0.0;Unknown;2.0;Unknown;Yes;Unknown;Unknown;Yes;Unknown;No;Unknown;Unknown;IV;Unknown;6.4;Baie Du Marigot;Unknown;Unknown;Unknown;Unknown;6.4;No;18.066667;Unknown;Unknown;11360.0;Unknown;0.0;Unknown;Unknown;Good;0.0;Unknown;0.0;Unknown;Unknown;Yes;Unknown;No;Unknown;Unknown;;Unknown;Yes;Unknown;Sailing Directions Pub. 147 (Enroute) - Caribbean Sea - Volume I;Unknown;Unknown;Yes;Unknown;-63.083333;Unknown;Unknown;a1611370, coa16b, gen16, h1611370;0.0;0.0;Unknown;Unknown;Yes;No;Yes;Unknown;Unknown;Unknown;Unknown;Unknown;Very Small;Unknown;Unknown;Unknown;Yes;Unknown;0.0;4.9;Unknown;Unknown;Yes;;25608.0;0.0;18.066667,-63.083333,0.000001
Unknown;"Aegean Sea; Mediterranean Sea; North Atlantic Ocean";Unknown;Unknown;Yes;Unknown;https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub132bk.pdf&type=view;Unknown;Coastal (Natural);Unknown;;No;64.0;Unknown;Unknown;0.0;Unknown;;Unknown;Unknown;Greece;Aegean Islands -- 42640;Unknown;Unknown;Unknown;;Unknown;Unknown;Unknown;0.0;Unknown;2.0;Unknown;Unknown;Unknown;Unknown;Yes;Unknown;No;Yes;Unknown;III;Unknown;6.4;Vrakhonisis Kallonis;Unknown;Unknown;Yes;Unknown;17.1;No;39.083333;Unknown;Unknown;42790.0;Unknown;0.0;Unknown;Yes;Good;0.0;Unknown;0.0;Unknown;Unknown;Unknown;Unknown;No;Unknown;Unknown;Kalloni;Unknown;Yes;Unknown;Sailing Directions Pub. 132 (Enroute) - Eastern Mediterranean;Unknown;Unknown;Yes;Unknown;26.083333;Unknown;Unknown;a0942760, coa09d, gen09;0.0;0.0;Unknown;Unknown;Yes;Unknown;Unknown;No;Unknown;Unknown;Yes;Unknown;Very Small;Unknown;Unknown;Unknown;Unknown;Unknown;0.0;1.8;Unknown;No;Unknown;;54380.0;0.0;39.083333,26.083333,0.000001
